,0
0,ohms
421,11706.392
422,11459.5397
423,11527.3862
424,11494.182
425,11418.9182
426,11394.5057
427,11393.0785
428,11191.9253
429,11331.4479
430,11202.4574
431,11223.981
432,11078.7959
433,11170.3265
434,11012.5582
435,10920.863
436,10823.8199
437,10704.6209
438,10677.232
439,10727.2258
440,10486.3719
441,10470.359
442,10371.4846
443,10527.3433
444,10457.0289
445,10571.1972
446,10417.9754
447,10199.9013
448,10301.7369
449,10117.6101
450,10209.8662
451,10216.7259
452,9983.95034
453,10150.8785
454,9960.37652
455,9948.12239
456,9939.54277
457,10026.3499
458,9763.98798
459,9958.42858
460,9781.37347
461,9865.37616
462,9804.14451
463,9774.14713
464,9572.92201
465,9493.78686
466,9570.37702
467,9642.18053
468,9599.76516
469,9505.53095
470,9444.09287
471,9472.93022
472,9441.03958
473,9421.42759
474,9319.37489
475,9179.94381
476,9306.87976
477,9173.18847
478,9169.75731
479,9216.72522
480,9148.69511
481,9091.39143
482,9110.45057
483,8956.95524
484,9059.14736
485,9004.04345
486,9032.18663
487,9072.99536
488,8904.53457
489,8901.24681
490,8870.52362
491,8891.73606
492,8919.16355
493,8802.47539
494,8764.47533
495,8750.45382
496,8665.57357
497,8683.63024
498,8632.23574
499,8605.52676
500,8474.25744
501,8464.04885
502,8502.53133
503,8499.64072
504,8495.05635
505,8280.5772
506,8460.57214
507,8458.48131
508,8253.39682
509,8057.35428
510,8213.81395
511,8214.75576
512,8113.06117
513,8142.69783
514,8134.08485
515,8097.56932
516,8064.14942
517,8110.85064
518,8089.67035
519,7985.81462
520,7983.10072
521,7982.53164
522,7939.33812
523,7903.61807
524,7814.38454
525,7725.81863
526,7745.03111
527,7867.57325
528,7757.14198
529,7816.41608
530,7717.91438
531,7714.38706
532,7700.29886
533,7779.33827
534,7667.26606
535,7727.94441
536,7633.72209
537,7617.93832
538,7681.53758
539,7453.88309
540,7561.91168
541,7385.54964
542,7345.84367
543,7390.75452
544,7538.18762
545,7308.2856
546,7433.65537
547,7338.08367
548,7370.15797
549,7241.27862
550,7407.5921
551,7099.46722
552,7192.30812
553,7103.30608
554,7110.78715
555,7047.19961
556,7175.79352
557,7099.11439
558,6984.96564
559,6994.43663
560,7041.46944
561,6877.57191
562,6827.84514
563,6885.00337
564,6916.28436
565,6865.0597
566,6908.27711
567,6793.21169
568,6802.98994
569,6840.86439
570,6804.88485
571,6768.49859
572,6808.89153
573,6667.71249
574,6553.59563
575,6588.1532
576,6709.7466
577,6700.93163
578,6474.78792
579,6610.8756
580,6650.02032
581,6428.47002
582,6440.40448
583,6526.77994
584,6666.49514
585,6437.91277
586,6410.49004
587,6328.45577
588,6391.73015
589,6312.33405
590,6314.53617
591,6401.58983
592,6292.62124
593,6298.54157
594,6312.69569
595,6205.8802
596,6232.81324
597,6184.36536
598,6123.93611
599,6102.53737
600,6009.39692
601,6068.30747
602,6194.8026
603,6087.51494
604,6097.716
605,6102.52931
606,6109.32351
607,6166.79763
608,6111.07354
609,6081.97333
610,5954.03923
611,5983.22503
612,5947.22695
613,6020.79111
614,5977.92766
615,5910.08377
616,5956.95991
617,5909.14586
618,5940.94077
619,5960.02644
620,5923.7711
621,6038.64528
622,5897.679
