Sensor, Timestamp, Value
LoadCell, 2024-05-02 18:38:37.954638, None
DMM, 2024-05-02 18:38:37.954638, 1298863.83
LoadCell, 2024-05-02 18:38:37.974784, None
DMM, 2024-05-02 18:38:37.974784, 1300608.81
LoadCell, 2024-05-02 18:38:37.994669, 0.00405
DMM, 2024-05-02 18:38:37.994669, 1301182.26
LoadCell, 2024-05-02 18:38:38.014792, None
DMM, 2024-05-02 18:38:38.014792, 1300144.12
LoadCell, 2024-05-02 18:38:38.034623, None
DMM, 2024-05-02 18:38:38.034623, 1296623.22
LoadCell, 2024-05-02 18:38:38.056595, None
DMM, 2024-05-02 18:38:38.056595, 1294017.47
LoadCell, 2024-05-02 18:38:38.073760, None
DMM, 2024-05-02 18:38:38.073760, 1295488.61
LoadCell, 2024-05-02 18:38:38.094402, 0.00407
DMM, 2024-05-02 18:38:38.094402, 1300737.16
LoadCell, 2024-05-02 18:38:38.114368, None
DMM, 2024-05-02 18:38:38.114368, 1302280.27
LoadCell, 2024-05-02 18:38:38.134768, None
DMM, 2024-05-02 18:38:38.134768, 1302583.44
LoadCell, 2024-05-02 18:38:38.154866, None
DMM, 2024-05-02 18:38:38.154866, 1296806.8
LoadCell, 2024-05-02 18:38:38.173717, None
DMM, 2024-05-02 18:38:38.173717, 1298060.33
LoadCell, 2024-05-02 18:38:38.195098, 0.00403
DMM, 2024-05-02 18:38:38.195098, 1299757.66
LoadCell, 2024-05-02 18:38:38.213680, None
DMM, 2024-05-02 18:38:38.213680, 1297608.16
LoadCell, 2024-05-02 18:38:38.234339, None
DMM, 2024-05-02 18:38:38.234339, 1300759.8
LoadCell, 2024-05-02 18:38:38.254646, None
DMM, 2024-05-02 18:38:38.254646, 1298563.16
LoadCell, 2024-05-02 18:38:38.276740, None
DMM, 2024-05-02 18:38:38.276740, 1301101.92
LoadCell, 2024-05-02 18:38:38.294093, 0.0041
DMM, 2024-05-02 18:38:38.294093, 1305423.84
LoadCell, 2024-05-02 18:38:38.313832, None
DMM, 2024-05-02 18:38:38.313832, 1303698.01
LoadCell, 2024-05-02 18:38:38.333779, None
DMM, 2024-05-02 18:38:38.333779, 1299656.06
LoadCell, 2024-05-02 18:38:38.356416, None
DMM, 2024-05-02 18:38:38.356416, 1296371.47
LoadCell, 2024-05-02 18:38:38.374746, None
DMM, 2024-05-02 18:38:38.374746, 1295520.18
LoadCell, 2024-05-02 18:38:38.394085, 0.00401
DMM, 2024-05-02 18:38:38.394085, 1295784.35
LoadCell, 2024-05-02 18:38:38.413846, None
DMM, 2024-05-02 18:38:38.413846, 1291775.41
LoadCell, 2024-05-02 18:38:38.434419, None
DMM, 2024-05-02 18:38:38.434419, 1293253.16
LoadCell, 2024-05-02 18:38:38.454616, None
DMM, 2024-05-02 18:38:38.454616, 1295948.15
LoadCell, 2024-05-02 18:38:38.473895, None
DMM, 2024-05-02 18:38:38.473895, 1295414.56
LoadCell, 2024-05-02 18:38:38.496235, 0.00414
DMM, 2024-05-02 18:38:38.496235, 1288751.09
LoadCell, 2024-05-02 18:38:38.514750, None
DMM, 2024-05-02 18:38:38.514750, 1290132.04
LoadCell, 2024-05-02 18:38:38.533610, None
DMM, 2024-05-02 18:38:38.533610, 1283469.62
LoadCell, 2024-05-02 18:38:38.554240, None
DMM, 2024-05-02 18:38:38.554240, 1275348.07
LoadCell, 2024-05-02 18:38:38.574843, None
DMM, 2024-05-02 18:38:38.574843, 1272786.44
LoadCell, 2024-05-02 18:38:38.595068, 0.00409
DMM, 2024-05-02 18:38:38.595068, 1280636.47
LoadCell, 2024-05-02 18:38:38.614098, None
DMM, 2024-05-02 18:38:38.614098, 1286620.85
LoadCell, 2024-05-02 18:38:38.633743, None
DMM, 2024-05-02 18:38:38.633743, 1292132.62
LoadCell, 2024-05-02 18:38:38.654742, None
DMM, 2024-05-02 18:38:38.654742, 1291466.79
LoadCell, 2024-05-02 18:38:38.674000, None
DMM, 2024-05-02 18:38:38.674000, 1279729.72
LoadCell, 2024-05-02 18:38:38.695060, 0.00416
DMM, 2024-05-02 18:38:38.695060, 1226913.3
LoadCell, 2024-05-02 18:38:38.715888, None
DMM, 2024-05-02 18:38:38.715888, 1153297.16
LoadCell, 2024-05-02 18:38:38.733559, None
DMM, 2024-05-02 18:38:38.733559, 1143826.27
LoadCell, 2024-05-02 18:38:38.754494, None
DMM, 2024-05-02 18:38:38.754494, 1169982.26
LoadCell, 2024-05-02 18:38:38.774678, None
DMM, 2024-05-02 18:38:38.774678, 1237705.54
