Sensor, Timestamp, Value
DMM, 2024-04-29 09:05:14.570627, 9.9e+37
LoadCell, 2024-04-29 09:05:15.290776, 0.0009
DMM, 2024-04-29 09:05:15.290776, 9.9e+37
LoadCell, 2024-04-29 09:05:16.010431, None
DMM, 2024-04-29 09:05:16.010431, 9.9e+37
LoadCell, 2024-04-29 09:05:16.630707, None
DMM, 2024-04-29 09:05:16.630707, 9.9e+37
LoadCell, 2024-04-29 09:05:17.230522, None
DMM, 2024-04-29 09:05:17.230522, 9.9e+37
LoadCell, 2024-04-29 09:05:17.830169, None
DMM, 2024-04-29 09:05:17.830169, 9.9e+37
LoadCell, 2024-04-29 09:05:18.430544, 0.001
DMM, 2024-04-29 09:05:18.430544, 9.9e+37
LoadCell, 2024-04-29 09:05:19.030236, None
DMM, 2024-04-29 09:05:19.030236, 9.9e+37
LoadCell, 2024-04-29 09:05:19.629859, None
DMM, 2024-04-29 09:05:19.629859, 9.9e+37
LoadCell, 2024-04-29 09:05:20.230244, None
DMM, 2024-04-29 09:05:20.230244, 9.9e+37
LoadCell, 2024-04-29 09:05:20.830746, None
DMM, 2024-04-29 09:05:20.830746, 9.9e+37
LoadCell, 2024-04-29 09:05:21.430943, 0.0009
DMM, 2024-04-29 09:05:21.430943, 9.9e+37
LoadCell, 2024-04-29 09:05:22.030442, None
DMM, 2024-04-29 09:05:22.030442, 9.9e+37
LoadCell, 2024-04-29 09:05:22.630683, None
DMM, 2024-04-29 09:05:22.630683, 9.9e+37
LoadCell, 2024-04-29 09:05:23.230358, None
DMM, 2024-04-29 09:05:23.230358, 9.9e+37
LoadCell, 2024-04-29 09:05:23.830251, None
DMM, 2024-04-29 09:05:23.830251, 9.9e+37
LoadCell, 2024-04-29 09:05:24.550149, 0.001
DMM, 2024-04-29 09:05:24.550149, 9.9e+37
LoadCell, 2024-04-29 09:05:25.269628, None
DMM, 2024-04-29 09:05:25.269628, 9.9e+37
LoadCell, 2024-04-29 09:05:25.989239, None
DMM, 2024-04-29 09:05:25.989239, 9.9e+37
LoadCell, 2024-04-29 09:05:26.710028, None
DMM, 2024-04-29 09:05:26.710028, 9.9e+37
LoadCell, 2024-04-29 09:05:27.429396, None
DMM, 2024-04-29 09:05:27.429396, 9.9e+37
