Sensor, Timestamp, Value
LoadCell, 2024-04-29 09:09:30.456570, None
DMM, 2024-04-29 09:09:30.456570, 9.9e+37
LoadCell, 2024-04-29 09:09:31.153464, 0.0
DMM, 2024-04-29 09:09:31.153464, 9.9e+37
LoadCell, 2024-04-29 09:09:31.182954, None
DMM, 2024-04-29 09:09:31.182954, 9.9e+37
LoadCell, 2024-04-29 09:09:31.202951, None
DMM, 2024-04-29 09:09:31.202951, 9.9e+37
LoadCell, 2024-04-29 09:09:31.222897, None
DMM, 2024-04-29 09:09:31.222897, 9.9e+37
LoadCell, 2024-04-29 09:09:31.242405, None
DMM, 2024-04-29 09:09:31.242405, 9.9e+37
LoadCell, 2024-04-29 09:09:31.262514, 0.0001
DMM, 2024-04-29 09:09:31.262514, 9.9e+37
LoadCell, 2024-04-29 09:09:31.282460, None
DMM, 2024-04-29 09:09:31.282460, 9.9e+37
LoadCell, 2024-04-29 09:09:31.302962, None
DMM, 2024-04-29 09:09:31.302962, 9.9e+37
LoadCell, 2024-04-29 09:09:31.325157, None
DMM, 2024-04-29 09:09:31.325157, 9.9e+37
LoadCell, 2024-04-29 09:09:31.342202, None
DMM, 2024-04-29 09:09:31.342202, 9.9e+37
LoadCell, 2024-04-29 09:09:31.363111, 0.0001
DMM, 2024-04-29 09:09:31.363111, 9.9e+37
LoadCell, 2024-04-29 09:09:31.382724, None
DMM, 2024-04-29 09:09:31.382724, 9.9e+37
LoadCell, 2024-04-29 09:09:31.402670, None
DMM, 2024-04-29 09:09:31.402670, 9.9e+37
LoadCell, 2024-04-29 09:09:31.422645, None
DMM, 2024-04-29 09:09:31.422645, 9.9e+37
LoadCell, 2024-04-29 09:09:31.442024, None
DMM, 2024-04-29 09:09:31.442024, 9.9e+37
LoadCell, 2024-04-29 09:09:31.462883, 0.0002
DMM, 2024-04-29 09:09:31.462883, 9.9e+37
LoadCell, 2024-04-29 09:09:31.482359, None
DMM, 2024-04-29 09:09:31.482359, 9.9e+37
LoadCell, 2024-04-29 09:09:31.502308, None
DMM, 2024-04-29 09:09:31.502308, 9.9e+37
LoadCell, 2024-04-29 09:09:31.522255, None
DMM, 2024-04-29 09:09:31.522255, 9.9e+37
LoadCell, 2024-04-29 09:09:31.545190, None
DMM, 2024-04-29 09:09:31.545190, 9.9e+37
LoadCell, 2024-04-29 09:09:31.562852, 0.0001
DMM, 2024-04-29 09:09:31.562852, 9.9e+37
LoadCell, 2024-04-29 09:09:31.583155, None
DMM, 2024-04-29 09:09:31.583155, 9.9e+37
LoadCell, 2024-04-29 09:09:31.602230, None
DMM, 2024-04-29 09:09:31.602230, 9.9e+37
LoadCell, 2024-04-29 09:09:31.623194, None
DMM, 2024-04-29 09:09:31.623194, 9.9e+37
LoadCell, 2024-04-29 09:09:31.643172, None
DMM, 2024-04-29 09:09:31.643172, 9.9e+37
LoadCell, 2024-04-29 09:09:31.662811, 0.0001
DMM, 2024-04-29 09:09:31.662811, 9.9e+37
LoadCell, 2024-04-29 09:09:31.682184, None
DMM, 2024-04-29 09:09:31.682184, 9.9e+37
LoadCell, 2024-04-29 09:09:31.702705, None
