Sensor, Timestamp, Value
LoadCell, 2024-04-29 09:07:29.386935, None
DMM, 2024-04-29 09:07:29.386935, 9.9e+37
LoadCell, 2024-04-29 09:07:30.591662, 0.0001
DMM, 2024-04-29 09:07:30.591662, 9.9e+37
LoadCell, 2024-04-29 09:07:31.194899, None
DMM, 2024-04-29 09:07:31.194899, 9.9e+37
LoadCell, 2024-04-29 09:07:31.794826, None
DMM, 2024-04-29 09:07:31.794826, 9.9e+37
LoadCell, 2024-04-29 09:07:32.395197, None
DMM, 2024-04-29 09:07:32.395197, 9.9e+37
LoadCell, 2024-04-29 09:07:32.995467, None
DMM, 2024-04-29 09:07:32.995467, 9.9e+37
LoadCell, 2024-04-29 09:07:33.635124, 0.0
DMM, 2024-04-29 09:07:33.635124, 9.9e+37
LoadCell, 2024-04-29 09:07:34.354864, None
DMM, 2024-04-29 09:07:34.354864, 9.9e+37
LoadCell, 2024-04-29 09:07:35.074035, None
DMM, 2024-04-29 09:07:35.074035, 9.9e+37
LoadCell, 2024-04-29 09:07:35.794021, None
DMM, 2024-04-29 09:07:35.794021, 9.9e+37
LoadCell, 2024-04-29 09:07:36.514425, None
DMM, 2024-04-29 09:07:36.514425, 9.9e+37
LoadCell, 2024-04-29 09:07:37.233797, 0.0002
DMM, 2024-04-29 09:07:37.233797, 9.9e+37
LoadCell, 2024-04-29 09:07:37.954384, None
DMM, 2024-04-29 09:07:37.954384, 9.9e+37
LoadCell, 2024-04-29 09:07:38.613712, None
DMM, 2024-04-29 09:07:38.613712, 9.9e+37
