,load,ohms
2579,"[' 2024-04-29 14:26:16.033601', '0.007']","[' 2024-04-29 14:26:16.033601', '212300.94']"
2580,"[' 2024-04-29 14:26:16.242691', '0.007']","[' 2024-04-29 14:26:16.242691', '213345.493']"
2581,"[' 2024-04-29 14:26:16.435007', '0.007']","[' 2024-04-29 14:26:16.435007', '212708.284']"
2582,"[' 2024-04-29 14:26:16.635553', '0.007']","[' 2024-04-29 14:26:16.635553', '212537.638']"
2583,"[' 2024-04-29 14:26:16.836137', '0.007']","[' 2024-04-29 14:26:16.836137', '213324.759']"
2584,"[' 2024-04-29 14:26:17.043158', '0.007']","[' 2024-04-29 14:26:17.043158', '210156.057']"
2585,"[' 2024-04-29 14:26:17.235496', '0.007']","[' 2024-04-29 14:26:17.235496', '209947.766']"
2586,"[' 2024-04-29 14:26:17.434722', '0.007']","[' 2024-04-29 14:26:17.434722', '211970.116']"
2587,"[' 2024-04-29 14:26:17.643555', '0.007']","[' 2024-04-29 14:26:17.643555', '215132.237']"
2588,"[' 2024-04-29 14:26:17.835189', '0.007']","[' 2024-04-29 14:26:17.835189', '209493.162']"
2589,"[' 2024-04-29 14:26:18.034572', '0.007']","[' 2024-04-29 14:26:18.034572', '206438.945']"
2590,"[' 2024-04-29 14:26:18.237156', '0.007']","[' 2024-04-29 14:26:18.237156', '201728.654']"
2591,"[' 2024-04-29 14:26:18.435060', '0.007']","[' 2024-04-29 14:26:18.435060', '4422.04091']"
2592,"[' 2024-04-29 14:26:18.642794', '2.903']","[' 2024-04-29 14:26:18.642794', '4036.22983']"
2593,"[' 2024-04-29 14:26:18.843183', '4.005']","[' 2024-04-29 14:26:18.843183', '3935.01072']"
2594,"[' 2024-04-29 14:26:19.034270', '4.073']","[' 2024-04-29 14:26:19.034270', '4010.94641']"
2595,"[' 2024-04-29 14:26:19.241298', '4.089']","[' 2024-04-29 14:26:19.241298', '4054.09716']"
2596,"[' 2024-04-29 14:26:19.434554', '4.111']","[' 2024-04-29 14:26:19.434554', '3860.69645']"
2597,"[' 2024-04-29 14:26:19.628783', '4.138']","[' 2024-04-29 14:26:19.628783', '3983.25718']"
2598,"[' 2024-04-29 14:26:19.843837', '4.14']","[' 2024-04-29 14:26:19.843837', '3927.62897']"
2599,"[' 2024-04-29 14:26:20.035366', '4.171']","[' 2024-04-29 14:26:20.035366', '3736.99285']"
2600,"[' 2024-04-29 14:26:20.240804', '4.197']","[' 2024-04-29 14:26:20.240804', '3896.0809']"
2601,"[' 2024-04-29 14:26:20.434915', '4.204']","[' 2024-04-29 14:26:20.434915', '3796.42953']"
2602,"[' 2024-04-29 14:26:20.644666', '4.22']","[' 2024-04-29 14:26:20.644666', '3732.36518']"
2603,"[' 2024-04-29 14:26:20.834279', '4.24']","[' 2024-04-29 14:26:20.834279', '3791.05674']"
2604,"[' 2024-04-29 14:26:21.035465', '4.26']","[' 2024-04-29 14:26:21.035465', '3642.94758']"
2605,"[' 2024-04-29 14:26:21.242642', '4.279']","[' 2024-04-29 14:26:21.242642', '3633.37748']"
2606,"[' 2024-04-29 14:26:21.435029', '4.297']","[' 2024-04-29 14:26:21.435029', '3579.0587']"
2607,"[' 2024-04-29 14:26:21.642996', '4.314']","[' 2024-04-29 14:26:21.642996', '3649.38727']"
2608,"[' 2024-04-29 14:26:21.843136', '4.336']","[' 2024-04-29 14:26:21.843136', '3768.61508']"
2609,"[' 2024-04-29 14:26:22.041954', '4.351']","[' 2024-04-29 14:26:22.041954', '3787.39652']"
2610,"[' 2024-04-29 14:26:22.234188', '4.367']","[' 2024-04-29 14:26:22.234188', '3625.71278']"
