,load,ohms
265,"[' 2024-04-29 14:47:45.601986', ' 1.113']","[' 2024-04-29 14:47:45.601986', ' 15250.2015']"
266,"[' 2024-04-29 14:47:45.804605', ' 1.12']","[' 2024-04-29 14:47:45.804605', ' 15222.0049']"
267,"[' 2024-04-29 14:47:46.011298', ' 1.123']","[' 2024-04-29 14:47:46.011298', ' 15351.329']"
268,"[' 2024-04-29 14:47:46.210698', ' 1.126']","[' 2024-04-29 14:47:46.210698', ' 15183.861']"
269,"[' 2024-04-29 14:47:46.400864', ' 1.131']","[' 2024-04-29 14:47:46.400864', ' 15137.4213']"
270,"[' 2024-04-29 14:47:46.601716', ' 1.136']","[' 2024-04-29 14:47:46.601716', ' 15010.8761']"
271,"[' 2024-04-29 14:47:46.802123', ' 1.144']","[' 2024-04-29 14:47:46.802123', ' 14737.5576']"
272,"[' 2024-04-29 14:47:47.007309', ' 1.158']","[' 2024-04-29 14:47:47.007309', ' 14704.3313']"
273,"[' 2024-04-29 14:47:47.214620', ' 1.168']","[' 2024-04-29 14:47:47.214620', ' 14566.9829']"
274,"[' 2024-04-29 14:47:47.405187', ' 1.174']","[' 2024-04-29 14:47:47.405187', ' 14407.3805']"
275,"[' 2024-04-29 14:47:47.609800', ' 1.181']","[' 2024-04-29 14:47:47.609800', ' 14334.2441']"
276,"[' 2024-04-29 14:47:47.800613', ' 1.185']","[' 2024-04-29 14:47:47.800613', ' 14201.4875']"
277,"[' 2024-04-29 14:47:48.001210', ' 1.19']","[' 2024-04-29 14:47:48.001210', ' 14075.4789']"
278,"[' 2024-04-29 14:47:48.203398', ' 1.193']","[' 2024-04-29 14:47:48.203398', ' 14164.435']"
279,"[' 2024-04-29 14:47:48.412079', ' 1.196']","[' 2024-04-29 14:47:48.412079', ' 13910.8227']"
280,"[' 2024-04-29 14:47:48.611430', ' 1.202']","[' 2024-04-29 14:47:48.611430', ' 13738.2339']"
281,"[' 2024-04-29 14:47:48.814015', ' 1.206']","[' 2024-04-29 14:47:48.814015', ' 13768.9761']"
282,"[' 2024-04-29 14:47:49.013299', ' 1.21']","[' 2024-04-29 14:47:49.013299', ' 13836.0854']"
283,"[' 2024-04-29 14:47:49.213848', ' 1.219']","[' 2024-04-29 14:47:49.213848', ' 13587.9249']"
284,"[' 2024-04-29 14:47:49.409584', ' 1.226']","[' 2024-04-29 14:47:49.409584', ' 13679.1199']"
285,"[' 2024-04-29 14:47:49.611300', ' 1.232']","[' 2024-04-29 14:47:49.611300', ' 13479.5844']"
286,"[' 2024-04-29 14:47:49.799574', ' 1.238']","[' 2024-04-29 14:47:49.799574', ' 13684.5852']"
287,"[' 2024-04-29 14:47:49.999952', ' 1.241']","[' 2024-04-29 14:47:49.999952', ' 13440.7059']"
288,"[' 2024-04-29 14:47:50.215289', ' 1.247']","[' 2024-04-29 14:47:50.215289', ' 13539.5083']"
289,"[' 2024-04-29 14:47:50.414570', ' 1.255']","[' 2024-04-29 14:47:50.414570', ' 13439.9538']"
290,"[' 2024-04-29 14:47:50.610817', ' 1.262']","[' 2024-04-29 14:47:50.610817', ' 13329.2478']"
291,"[' 2024-04-29 14:47:50.811669', ' 1.271']","[' 2024-04-29 14:47:50.811669', ' 13151.903']"
292,"[' 2024-04-29 14:47:51.001090', ' 1.274']","[' 2024-04-29 14:47:51.001090', ' 13238.2912']"
293,"[' 2024-04-29 14:47:51.213991', ' 1.278']","[' 2024-04-29 14:47:51.213991', ' 13211.9464']"
294,"[' 2024-04-29 14:47:51.408820', ' 1.284']","[' 2024-04-29 14:47:51.408820', ' 13014.8049']"
295,"[' 2024-04-29 14:47:51.601404', ' 1.285']","[' 2024-04-29 14:47:51.601404', ' 12879.0388']"
296,"[' 2024-04-29 14:47:51.810802', ' 1.287']","[' 2024-04-29 14:47:51.810802', ' 12814.5956']"
