,load,ohms
392,"[' 2024-04-29 13:58:00.663027', ' 1.878']","[' 2024-04-29 13:58:00.663027', ' 13217.2337']"
393,"[' 2024-04-29 13:58:00.866248', ' 1.884']","[' 2024-04-29 13:58:00.866248', ' 12991.6092']"
394,"[' 2024-04-29 13:58:01.063837', ' 1.887']","[' 2024-04-29 13:58:01.063837', ' 13209.9077']"
395,"[' 2024-04-29 13:58:01.263521', ' 1.894']","[' 2024-04-29 13:58:01.263521', ' 13046.4597']"
396,"[' 2024-04-29 13:58:01.463869', ' 1.901']","[' 2024-04-29 13:58:01.463869', ' 12970.5141']"
397,"[' 2024-04-29 13:58:01.663948', ' 1.909']","[' 2024-04-29 13:58:01.663948', ' 13027.7552']"
398,"[' 2024-04-29 13:58:01.863181', ' 1.914']","[' 2024-04-29 13:58:01.863181', ' 12862.5243']"
399,"[' 2024-04-29 13:58:02.065955', ' 1.917']","[' 2024-04-29 13:58:02.065955', ' 12925.6243']"
400,"[' 2024-04-29 13:58:02.265504', ' 1.922']","[' 2024-04-29 13:58:02.265504', ' 12755.5617']"
401,"[' 2024-04-29 13:58:02.462958', ' 1.927']","[' 2024-04-29 13:58:02.462958', ' 12719.0391']"
402,"[' 2024-04-29 13:58:02.659957', ' 1.931']","[' 2024-04-29 13:58:02.659957', ' 12782.0417']"
403,"[' 2024-04-29 13:58:02.860901', ' 1.938']","[' 2024-04-29 13:58:02.860901', ' 12678.8595']"
404,"[' 2024-04-29 13:58:03.062599', ' 1.943']","[' 2024-04-29 13:58:03.062599', ' 12514.747']"
405,"[' 2024-04-29 13:58:03.262290', ' 1.952']","[' 2024-04-29 13:58:03.262290', ' 12462.0075']"
406,"[' 2024-04-29 13:58:03.462531', ' 1.959']","[' 2024-04-29 13:58:03.462531', ' 12417.7002']"
407,"[' 2024-04-29 13:58:03.660770', ' 1.965']","[' 2024-04-29 13:58:03.660770', ' 12439.0166']"
408,"[' 2024-04-29 13:58:03.861326', ' 1.968']","[' 2024-04-29 13:58:03.861326', ' 12194.799']"
409,"[' 2024-04-29 13:58:04.062982', ' 1.973']","[' 2024-04-29 13:58:04.062982', ' 12297.0002']"
410,"[' 2024-04-29 13:58:04.261301', ' 1.977']","[' 2024-04-29 13:58:04.261301', ' 12176.3534']"
411,"[' 2024-04-29 13:58:04.461113', ' 1.982']","[' 2024-04-29 13:58:04.461113', ' 12159.6971']"
412,"[' 2024-04-29 13:58:04.661276', ' 1.989']","[' 2024-04-29 13:58:04.661276', ' 11988.5561']"
413,"[' 2024-04-29 13:58:04.863097', ' 1.993']","[' 2024-04-29 13:58:04.863097', ' 11975.2762']"
414,"[' 2024-04-29 13:58:05.061582', ' 2.0']","[' 2024-04-29 13:58:05.061582', ' 11978.3622']"
415,"[' 2024-04-29 13:58:05.260711', ' 2.006']","[' 2024-04-29 13:58:05.260711', ' 11900.8143']"
416,"[' 2024-04-29 13:58:05.461624', ' 2.018']","[' 2024-04-29 13:58:05.461624', ' 11828.9217']"
417,"[' 2024-04-29 13:58:05.662324', ' 2.022']","[' 2024-04-29 13:58:05.662324', ' 11853.9694']"
418,"[' 2024-04-29 13:58:05.861428', ' 2.029']","[' 2024-04-29 13:58:05.861428', ' 11689.0747']"
419,"[' 2024-04-29 13:58:06.061991', ' 2.031']","[' 2024-04-29 13:58:06.061991', ' 11777.1492']"
420,"[' 2024-04-29 13:58:06.261580', ' 2.033']","[' 2024-04-29 13:58:06.261580', ' 11706.392']"
421,"[' 2024-04-29 13:58:06.461415', ' 2.04']","[' 2024-04-29 13:58:06.461415', ' 11459.5397']"
422,"[' 2024-04-29 13:58:06.660778', ' 2.047']","[' 2024-04-29 13:58:06.660778', ' 11527.3862']"
423,"[' 2024-04-29 13:58:06.862013', ' 2.056']","[' 2024-04-29 13:58:06.862013', ' 11494.182']"
424,"[' 2024-04-29 13:58:07.056131', ' 2.061']","[' 2024-04-29 13:58:07.056131', ' 11418.9182']"
425,"[' 2024-04-29 13:58:07.261818', ' 2.062']","[' 2024-04-29 13:58:07.261818', ' 11394.5057']"
426,"[' 2024-04-29 13:58:07.461296', ' 2.065']","[' 2024-04-29 13:58:07.461296', ' 11393.0785']"
427,"[' 2024-04-29 13:58:07.661261', ' 2.066']","[' 2024-04-29 13:58:07.661261', ' 11191.9253']"
428,"[' 2024-04-29 13:58:07.862428', ' 2.071']","[' 2024-04-29 13:58:07.862428', ' 11331.4479']"
429,"[' 2024-04-29 13:58:08.062006', ' 2.08']","[' 2024-04-29 13:58:08.062006', ' 11202.4574']"
430,"[' 2024-04-29 13:58:08.261653', ' 2.085']","[' 2024-04-29 13:58:08.261653', ' 11223.981']"
431,"[' 2024-04-29 13:58:08.461936', ' 2.096']","[' 2024-04-29 13:58:08.461936', ' 11078.7959']"
432,"[' 2024-04-29 13:58:08.662842', ' 2.104']","[' 2024-04-29 13:58:08.662842', ' 11170.3265']"
433,"[' 2024-04-29 13:58:08.861953', ' 2.109']","[' 2024-04-29 13:58:08.861953', ' 11012.5582']"
434,"[' 2024-04-29 13:58:09.062048', ' 2.113']","[' 2024-04-29 13:58:09.062048', ' 10920.863']"
